date,year,type,country,area,location,activity,sex,injury,fatal_(y/n),time,species,href,species_sorted,age3,month_attack
25-Jun-2018,2018.0,Boating,USA,California,"Oceanside, San Diego County",Paddling,F,"No injury to occupant, outrigger canoe and paddle damaged",N,Evening,White shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.25-Wolfe.pdf,White shark,57,Jun
18-Jun-2018,2018.0,Unprovoked,USA,Georgia,"St. Simon Island, Glynn County",Standing,F,Minor injury to left thigh,N,Afternoon,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.18-McNeely.pdf,,11,Jun
09-Jun-2018,2018.0,Invalid,USA,Hawaii,"Habush, Oahu",Surfing,M,Injury to left lower leg from surfboard skeg,N,Morning,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.09-Denges.pdf,,48,Jun
08-Jun-2018,2018.0,Unprovoked,AUSTRALIA,New South Wales,Arrawarra Headland,Surfing,M,Minor injury to lower leg,N,,2 m shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.08-Arrawarra.pdf,,38.59037635595453,Jun
04-Jun-2018,2018.0,Provoked,MEXICO,Colima,La Ticla,Free diving,M,Lacerations to leg & hand shark PROVOKED INCIDENT,N,,"Tiger shark, 3m",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.04-Ramos.pdf,Tiger shark,36.17418394633741,Jun
03-Jun-2018,2018.0,Unprovoked,AUSTRALIA,New South Wales,"Flat Rock, Ballina",Kite surfing,M,"No injury, board bitten",N,,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.03.b-FlatRock.pdf,,7.05786412580256,Jun
03-Jun-2018,2018.0,Unprovoked,BRAZIL,Pernambuco,"Piedade Beach, Recife",Swimming,M,FATAL,Y,,Tiger shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.03.a-daSilva.pdf,Tiger shark,18,Jun
27-May-2018,2018.0,Unprovoked,USA,Florida,"Lighhouse Point Park, Ponce Inlet, Volusia County",Fishing,M,Minor injury to foot. PROVOKED INCIDENT,N,,"Lemon shark, 3'",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.27-Ponce.pdf,Lemon shark,52,May
26-May-2018,2018.0,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Walking,M,Lower left leg bitten,N,Afternoon,"Bull shark, 6'",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.26.b-High.pdf,Bull shark,15,May
26-May-2018,2018.0,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Standing,M,Minor injury to foot,N,Afternoon,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.26.a-DaytonaBeach.pdf,,12,May
24-May-2018,2018.0,Provoked,AUSTRALIA,Queensland,Cairns Aquarium,Feeding sharks,M,Minor bite to hand by captive shark. PROVOKED INCIDENT,N,Morning,Grey reef shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.24-CairnsAquarium.pdf,,32,May
21-May-2018,2018.0,Unprovoked,USA,South Carolina,"Isle of Palms,  Charleston County",Boogie boarding,M,Injuries to lower right leg and foot,N,,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.21-deBoer.pdf,,10,May
13-May-2018,2018.0,Unprovoked,USA,South Carolina,"Hilton Head Island, Beaufort County",Swimming,M,Severe bite to right forearm,N,Afternoon,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.13.b-Turrell.pdf,,10,May
13-May-2018,2018.0,Invalid,ENGLAND,Cornwall,Off Land's End,Fishing,M,Injured by teeth of a dead porbeagle shark he was tossing overboard.,N,Morning,Invalid incident,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.13.a-Berryman.pdf,,21,May
May 2018,2018.0,Provoked,AUSTRALIA,Westerm Australia,Dugong Bay,Feeding sharks,F,Shallow lacerations to finger PROVOKED INCIDENT,N,,"Tawny nurse shark, 2m",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.00-Brunning.pdf,,34,May
12-May-2018,2018.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon Beach, East London",Surfing,M,"Minor injury, marks on board",N,Morning,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.12-EastLondon.pdf,,24.346608660757155,May
09-May-2018,2018.0,Questionable,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",Surfing,M,"No injury, surfboard damaged",N,Morning,Shark involvement not confirmed,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.09-SharpesBeach.pdf,,39.37139335499427,May
Reported 30-Apr-2018,2018.0,Unprovoked,THAILAND,Hua Hin,Sai Noi Beach,Swimming,M,Minor injury to ankle,N,,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.30.R-Thailand.pdf,,13.768276742296802,Apr
28-Apr-2018,2018.0,Unprovoked,COSTA RICA,Cocos Island,Manuelita,Scuba diving,M,"No injury, shark bit scuba gear",N,Morning,Tiger shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.28.b-CostaRica.pdf,Tiger shark,30,Apr
